1905.7, 0.62, 168.8, 4.7, 0.9, 48.9, 163.6, -0.03, -0.91, 1162,  0,  518,  7, 8.20, 44.6813120, 37.7940608, -42.80, 12.60,  1, 0.0, 0.0,  0,  7;
1906.2, 0.60, 184.5, 5.1, 0.0, 53.6, 169.8, -0.03, -0.95, 1158,  0,  526,  7, 9.10, 44.6813088, 37.7940544, -40.60, 7.30,  1, 0.0, 0.0,  0,  7;
1906.7, 0.54, 194.1, 5.1, 0.2, 57.8, 172.9, 0.00, -1.03, 1158,  0,  526,  7, 9.00, 44.6813088, 37.7940512, -36.30, 4.50,  1, 0.0, 0.0,  0,  7;
1907.2, 0.54, 194.1, 5.2, 0.4, 61.9, 177.7, -0.03, -1.03, 1164,  0,  524,  7, 9.90, 44.6813088, 37.7940512, -32.50, 1.30,  1, 0.0, 0.0,  0,  7;
1907.7, 0.52, 199.2, 5.1, 0.7, 67.7, 180.6, -0.03, -0.99, 1164,  0,  524,  7, 9.50, 44.6813056, 37.7940448, -28.90, -0.30,  1, 0.0, 0.0,  0,  7;
1908.3, 0.52, 199.2, 5.1, 0.9, 73.5, 181.4, -0.03, -0.99, 1151,  0,  527,  7, 10.50, 44.6813056, 37.7940448, -24.60, -0.60,  1, 0.0, 0.0,  0,  7;
1908.8, 0.56, 213.6, 5.7, 0.2, 78.6, 187.8, -0.03, -1.03, 1155,  0,  526,  7, 10.20, 44.6813024, 37.7940416, -22.60, -3.10,  1, 0.0, 0.0,  0, -5;
1909.3, 0.56, 213.6, 5.8, 0.5, 83.4, 190.1, 0.00, -0.99, 1155,  0,  526,  7, 10.40, 44.6813024, 37.7940416, -19.70, -3.50,  1, 0.0, 0.0,  0, -5;
1909.8, 0.58, 228.7, 4.9, -0.0, 89.2, 200.3, -0.03, -1.03, 1161,  0,  525,  7, 11.00, 44.6812960, 37.7940320, -16.20, -6.00,  1, 0.0, 0.0,  0, -5;
1910.3, 0.58, 228.7, 4.9, 0.2, 94.9, 207.0, 0.00, -1.03, 1161,  0,  525, -5, 9.00, 44.6812960, 37.7940320, -15.10, -7.70,  1, 0.0, 0.0,  0, -5;
1910.8, 0.69, 235.6, 5.8, -0.4, 98.2, 208.8, -0.03, -0.99, 1148,  0,  526, -5, 7.00, 44.6812928, 37.7940256, -12.00, -6.60,  1, 0.0, 0.0,  0, -5;
1911.3, 0.69, 235.6, 4.9, 0.5, 101.4, 209.4, -0.03, -0.99, 1148,  0,  526, -5, 4.90, 44.6812928, 37.7940256, -11.20, -6.30,  1, 0.0, 0.0,  0, -5;
1911.9, 0.64, 241.4, 4.2, -0.3, 104.0, 219.6, -0.03, -0.99, 1162,  0,  526, -5, 4.00, 44.6812896, 37.7940192, -9.80, -8.10,  1, 0.0, 0.0,  0, -5;
1912.4, 0.64, 241.4, 5.8, -0.0, 105.6, 224.0, -0.03, -1.03, 1162,  0,  526, -5, 3.10, 44.6812896, 37.7940192, -8.40, -8.10,  1, 0.0, 0.0,  0, -5;
1912.9, 0.33, 241.4, 5.8, 0.0, 107.2, 222.7, -0.03, -0.91, 1145,  0,  515, -5, 1.50, 44.6812864, 37.7940096, -9.10, -8.40,  1, 0.0, 0.0,  0, -5;
1913.4, 0.33, 241.4, 4.2, -0.2, 108.1, 223.7, -0.03, -0.88, 1145,  0,  515, -5, 0.50, 44.6812864, 37.7940096, -8.80, -8.40,  1, 0.0, 0.0,  0, -5;
1913.9, 0.28, 241.4, 4.2, -0.2, 108.1, 228.8, -0.03, -0.88, 1167,  0,  517, -5, -0.60, 44.6812864, 37.7940064, -7.70, -8.80,  1, 0.0, 0.0,  0, -5;
1914.4, 0.28, 241.4, 5.1, -0.9, 107.2, 222.6, -0.03, -0.91, 1167,  0,  517, -5, -2.60, 44.6812864, 37.7940064, -8.80, -8.10,  1, 0.0, 0.0,  0, -5;
1914.9, 0.45, 243.8, 4.2, -0.3, 105.6, 228.3, -0.03, -0.88, 1140,  0,  519, -5, -4.10, 44.6812832, 37.7940000, -8.10, -9.10,  1, 0.0, 0.0,  0, -5;
1915.5, 0.45, 243.8, 4.2, -0.4, 102.3, 225.9, -0.03, -0.84, 1140,  0,  519, -5, -5.50, 44.6812832, 37.7940000, -9.50, -9.80,  1, 0.0, 0.0,  0, -5;
1916.0, 0.09, 243.8, 4.2, -0.5, 99.1, 225.0, -0.03, -0.80, 1129,  0,  511, -5, -7.90, 44.6812832, 37.7939904, -10.90, -10.90,  1, 0.0, 0.0,  0, -5;
1916.5, 0.09, 243.8, 7.3, 1.1, 94.8, 242.4, 2.18, -1.76, 1129,  0,  511, -5, -11.60, 44.6812832, 37.7939904, -8.10, -15.50,  1, 0.0, 0.0,  0, -5;
1917.0, 0.27, 243.8, 4.9, 0.0, 90.0, 215.6, 0.07, -1.22, 1105,  0,  499, -5, -6.60, 44.6812768, 37.7940000, -17.60, -12.60,  1, 0.0, 0.0,  0, -5;
1917.5, 0.27, 243.8, 5.7, -1.1, 85.1, 211.7, 0.07, -1.37, 1105,  0,  499, -5, -5.90, 44.6812768, 37.7940000, -19.40, -12.00,  1, 0.0, 0.0,  0, -5;
1918.0, 0.02, 243.8, 7.3, -1.3, 81.9, 207.6, 0.07, -1.41, 1113,  0,  501, -5, -5.20, 44.6812832, 37.7940096, -22.20, -11.60,  1, 0.0, 0.0,  0, -5;
1918.5, 0.02, 243.8, 10.7, -0.3, 77.7, 200.0, 0.11, -1.72, 1113,  0,  501, -5, -7.80, 44.6812832, 37.7940096, -27.80, -10.10,  1, 0.0, 0.0,  0, -5;
1919.1, 0.03, 243.8, 8.1, -1.2, 73.6, 196.8, 0.07, -1.41, 1096,  0,  492, -5, -8.30, 44.6812832, 37.7940192, -31.40, -9.50,  1, 0.0, 0.0,  0, -5;
1919.6, 0.03, 243.8, 8.4, 0.1, 69.3, 187.6, -0.07, -1.41, 1096,  0,  492, -5, -9.50, 44.6812832, 37.7940192, -38.80, -5.20,  1, 0.0, 0.0,  0, -5;
